Project Name,Subscription,Billing Subscription,Project Created,Description,Client,Volume (GB),All Files Total File Count,All Files Monthly File Count,Total Documents Reviewed,Monthly Documents Reviewed,Third Party Users,Max Raw Entity Count
old_es_12_sena,Data Mining,Data Mining,2024/09/12 11:34 AM,,,0.01,63,63,0,0,18,0
old_project,Data Mining,Data Mining,2024/09/11 07:45 PM,,,0.01,18,18,0,0,18,0
oldes1,Data Mining,Data Mining,2024/05/20 07:06 AM,oldes1,,0,10,0,0,0,18,0
oldes2,Data Mining,Data Mining,2024/05/20 07:16 AM,oldes2,,0,32,0,4,4,18,0
onlyBAKfile,Data Mining,Data Mining,2023/06/27 02:14 PM,onlyBAKfile,,0.2,2,0,0,0,18,0
other video extension n file 4tt,Data Mining,Data Mining,2024/07/23 10:43 AM,other video extension n file 4tt,poc,0.87,95,0,0,0,18,0
other video extension n files 5tt,Data Mining,Data Mining,2024/07/24 05:43 AM,other video extension n files 5tt,poc,0.87,97,0,1,1,18,0
other video extension n HEIC HEIF n other files,Data Mining,Data Mining,2024/07/30 12:32 PM,other video extension n HEIC HEIF n other files,POC,1.78,241,0,6,6,19,0
Other Video Extensions DBR-882,Data Mining,Data Mining,2024/07/18 12:04 PM,"All other video extensions - 3G2,3GP,AVI,FLV,M4V,MKV,MOV,MP4,MPEG,MPG,WMV",poc,0.67,44,0,0,0,18,0
password protected files ,Data Mining,Data Mining,2024/04/12 02:58 PM,,,0,4,0,0,0,18,0
PDF files for Adobe Viewer ,Data Mining,Data Mining,2024/08/12 12:26 PM,PDF files for Adobe Viewer ,poc,0.12,11,0,0,0,18,0
pdf test ,Data Mining,Data Mining,2023/09/25 04:47 PM,,,0.12,739,0,4,4,18,0
PII check,Data Mining,Data Mining,2024/08/01 09:24 AM,,,0.02,509,0,15,15,18,0
pii detection for old code ,Data Mining,Data Mining,2024/08/01 09:21 AM,pii detection for old code ,poc,0.03,615,0,0,0,18,0
PII dob2 - TT,Data Mining,Data Mining,2021/07/07 01:32 PM,PII dob2 - TT,TT,0,0,0,0,0,18,0
PII Elements -2 @Ishwari,Data Mining,Data Mining,2021/07/27 07:34 AM,,,0,0,0,0,0,18,0
PII Re Run Detection @tushar (dont delete),Data Mining,Data Mining,2021/07/27 10:54 AM,PII Re Run Detection @tushar (dont delete),TT,0,0,0,0,0,18,0
PII Re Run Detection @tushar 2 (dont delete),Complete,Complete,2021/07/27 02:23 PM,PII Re Run Detection @tushar  2 (dont delete),TT,0,0,0,0,0,18,0
PII Re Run US @tushar 28 july,Data Mining,Data Mining,2021/07/28 02:12 PM,PII Re Run US @tushar 28 july,TT,0,0,0,0,0,18,0
PreSign,Data Mining,Data Mining,2023/07/13 08:50 AM,PreSign,,0.13,267,0,0,0,18,0
prod pst,Data Mining,Data Mining,2022/08/05 05:47 AM,delete after use,,0,0,0,0,0,18,0
prodissue,Data Mining,Data Mining,2022/06/30 04:11 PM,,,0,0,0,0,0,18,0
"Product Testing May 29, 2024",Data Mining,Data Mining,2024/05/29 10:21 PM,,,0.01,94,0,0,0,18,0
Project check aws (don't delete) Shrutika,Data Mining,Data Mining,2022/05/18 06:16 AM,,,0,0,0,0,0,18,0
project DBR-8705,Data Mining,Data Mining,2024/07/02 10:01 AM,project DBR-8705,poc,0,24,0,0,0,18,0
Project Status Change Cypress(Dont use this),Data Mining,Data Mining,2021/09/07 06:58 AM,Cypress project - this project is used for cypress automation (Dont use this),poc,0,0,0,0,0,18,0
Project status cypress change (dont delete),Data Mining,Data Mining,2022/09/01 09:13 AM,Project status cypress change (dont delete) dont use,poc,0,14,0,0,0,18,0
Project with new activity in DB structure( Dont delete),Data Mining,Data Mining,2022/02/08 06:49 AM,Project with new activity in DB structure,poc,0,0,0,0,0,18,0
Project-WithEmailBody,Data Mining,Data Mining,2024/01/23 10:25 AM,,,0,2,0,0,0,18,0
Project1_name1,Data Mining,Data Mining,2022/08/18 10:00 AM,,,0,0,0,0,0,18,0
prop digambar1,Data Mining,Data Mining,2023/02/20 12:15 PM,,,0,0,0,0,0,18,0
propagation test1,Data Mining,Data Mining,2023/02/17 10:37 AM,,,0,0,0,0,0,18,0
Propagation test2,Data Mining,Data Mining,2023/02/17 10:40 AM,,,0,0,0,0,0,18,0
propagation test3,Data Mining,Data Mining,2023/02/17 12:56 PM,,,0,0,0,0,0,18,0
propagation test4,Data Mining,Data Mining,2023/02/17 01:19 PM,,,0,0,0,0,0,18,0
propagation test5_with dups (DO NOT USE),Data Mining,Data Mining,2023/02/17 01:23 PM,,,0.01,99,0,0,0,18,0
pst,Data Mining,Data Mining,2023/03/08 12:33 PM,test,,0,0,0,0,0,18,0
PST check 3852,Data Mining,Data Mining,2022/11/03 06:36 AM,,,0,0,0,0,0,18,0
PST n 7z,Data Mining,Data Mining,2022/06/17 11:34 AM,,,0,0,0,0,0,18,0
PST source check,Data Mining,Data Mining,2022/09/01 09:58 AM,,,0,0,0,0,0,18,0
PST-4,Data Mining,Data Mining,2023/03/10 05:54 AM,test,,0,0,0,0,0,18,0
PST2,Data Mining,Data Mining,2023/03/08 03:14 PM,Pst upload issue,Nikhil,0,0,0,0,0,18,0
pst_dedupe1,Data Mining,Data Mining,2024/03/28 07:34 AM,pst_dedupe1,,0.02,291,0,0,0,18,0
pst_dedupe2,Data Mining,Data Mining,2024/03/28 08:08 AM,pst_dedupe2,,0.01,97,0,0,0,18,0
pst_dedupe3,Data Mining,Data Mining,2024/03/28 08:45 AM,pst_dedupe3,,0.01,97,0,0,0,18,0
qazqazqaz,Data Mining,Data Mining,2022/08/30 02:41 PM,qazqazqaz,,0,0,0,0,0,18,0
qwq,Deleted,Deleted,2021/04/24 01:18 PM,,,0,0,0,0,0,18,0
R10,Deleted,Deleted,2021/05/18 09:06 AM,,,0,0,0,0,0,18,0
R9,Deleted,Deleted,2021/05/18 08:44 AM,,,0,0,0,0,0,18,0
Rabbit Messages demo,Data Mining,Data Mining,2023/02/03 07:19 PM,,,0,0,0,0,0,18,0
rabbit1,Data Mining,Data Mining,2024/05/31 07:25 AM,rabbit1,,0,0,0,0,0,18,0
rabbit2,Data Mining,Data Mining,2024/05/31 08:29 AM,rabbit2,,0,9,0,0,0,18,0
ralph ,Data Mining,Data Mining,2022/07/04 05:29 AM,ralph,,0,0,0,0,0,18,0
RawEntitySummary_01,Data Mining,Data Mining,2022/05/31 06:30 AM,,,0,0,0,0,0,18,0
Re Run PII detection (dont delete),Data Mining,Data Mining,2022/02/10 05:48 AM,Re Run PII detection (dont delete),TT,0,20,0,7,7,19,0
Re-run check @ishwari,Data Mining,Data Mining,2021/07/28 12:37 PM,,,0,0,0,0,0,18,0
Re-Run PII Detection Cypress(Dont use this),Data Mining,Data Mining,2022/07/15 08:12 AM,Cypress - this is used for cypress automation(Dont use this)(Dont delete),poc,0,2,0,0,0,18,0
Report test (Dont delete),Data Mining,Data Mining,2022/02/04 01:25 PM,,,0,0,0,0,0,18,0
revert changes,Data Mining,Data Mining,2022/11/17 12:11 PM,,,0,0,0,0,0,18,0
review metrics check,Data Mining,Data Mining,2022/08/16 05:59 PM,,,0,0,0,0,0,18,0
Review Metrics Report1z,Data Mining,Data Mining,2021/11/18 06:45 AM,,,0,0,0,0,0,18,0
RMR,Notification,Notification,2023/09/28 07:41 AM,,,0.05,528,0,5,5,18,0
RMR (Do not use)11123,Data Mining,Data Mining,2022/08/17 07:14 AM,test,,0,0,0,0,0,18,0
RMR do not use,Data Mining,Data Mining,2022/06/02 05:38 AM,a,,0.01,115,0,35,35,18,0
s3,Data Mining,Data Mining,2023/01/11 11:23 AM,,,0,0,0,0,0,18,0
s3 false test,Deleted,Deleted,2021/04/14 11:11 AM,,,0,0,0,0,0,18,0
sas7bdat file,Data Mining,Data Mining,2024/03/04 11:10 AM,sas7bdat file,,0,0,0,0,0,18,0
sdfdfd,Data Mining,Data Mining,2023/08/23 12:26 PM,,,0,0,0,0,0,18,0
sdfs,Data Mining,Data Mining,2022/10/31 12:23 PM,d,,0,0,0,0,0,18,0
SecretKeyDetection,Data Mining,Data Mining,2024/01/10 12:09 PM,SecretKeyDetection,poc,0,2,0,0,0,18,0
sena_project,Data Mining,Data Mining,2024/06/17 08:29 PM,,,0,26,0,0,0,18,0
setting checka,Data Mining,Data Mining,2022/11/11 09:18 AM,,,0,0,0,0,0,18,0
shard 14 ,Data Mining,Data Mining,2023/09/15 06:18 AM,,,29.75,585126,0,1482,1482,18,0
share file 16042021,Deleted,Deleted,2021/04/16 07:21 AM,share file 16042021,poc,0,0,0,0,0,18,0
sharefile,Data Mining,Data Mining,2022/07/15 01:00 PM,,,0,0,0,0,0,18,0
sharefile,Data Mining,Data Mining,2022/07/22 09:55 AM,,,0,0,0,0,0,18,0
sharefile DBR-4121,Data Mining,Data Mining,2023/08/23 06:15 AM,sharefile DBR-4121,poc,0.04,10154,0,4,4,18,0
Sharefile Ishwari,Data Mining,Data Mining,2024/02/26 01:23 PM,,,0,3,0,0,0,18,0
sharefile test,Data Mining,Data Mining,2023/06/21 01:02 PM,,,0,6,0,0,0,18,0
sharefile-12,Data Mining,Data Mining,2022/08/02 04:06 AM,,,0,0,0,0,0,18,0
sharefile_upload ,Data Mining,Data Mining,2024/02/26 10:34 AM,,,0,9,0,0,0,18,0
Shrutika Prop test__Do not use,Data Mining,Data Mining,2023/02/20 12:18 PM,,,0.42,190,0,0,0,18,0
si-Shaerfile,Data Mining,Data Mining,2022/08/17 12:22 PM,,,0,0,0,0,0,18,0
signed_url_upload_test,Data Mining,Data Mining,2023/07/17 08:59 AM,signed_url_upload_test,,10.01,1191,0,0,0,18,0
signedurl_csv_upload,Data Mining,Data Mining,2023/07/13 08:32 AM,signedurl_csv_upload,,0.01,282,0,0,0,18,0
smart map automation (Dont use this),Data Mining,Data Mining,2022/02/15 08:30 AM,smart map automation (Don't delete),poc,0.04,140,0,33,33,18,0
Smart Map Cypress Automation - Do Not Delete,Data Mining,Data Mining,2024/02/29 12:05 PM,Smart Map Cypress Automation - Do Not Delete,poc,0.02,11,0,0,0,18,0
Smart Map Issue (Load Files don't delete),Data Mining,Data Mining,2022/09/21 10:10 AM,Smart Map Issue (Load Files don't delete),poc,0,0,0,0,0,18,0
smartmap @IShwari,Data Mining,Data Mining,2021/08/05 12:12 PM,,,0,0,0,0,0,18,0
Source Family ID check_1,Data Mining,Data Mining,2022/08/30 08:00 AM,Source Family ID check_1,,0,0,0,0,0,18,0
special char zip,Data Mining,Data Mining,2022/07/19 11:30 AM,special char zip,poc,0,0,0,0,0,18,0
SqlBakcQ,Data Mining,Data Mining,2022/10/12 11:47 AM,test,tes,0,0,0,0,0,18,0
Staging Testing 4499,Data Mining,Data Mining,2023/09/21 05:21 PM,,,50.42,89,0,3,3,18,0
Sticks and Stones,Data Mining,Data Mining,2024/07/08 12:46 PM,Stick & Stones,,0,0,0,0,0,18,0
Streaming API - dont delete,Data Mining,Data Mining,2023/08/31 11:03 AM,Streaming API - dont delete,poc,1.94,218,0,11,11,18,0
Streaming API1 - Dont Delete,Data Mining,Data Mining,2023/12/07 10:24 AM,Streaming API1 - Dont Delete,Rajesh,0,2,0,0,0,18,0
sub temp processing 17-12-21 @tt,Data Mining,Data Mining,2021/12/17 10:05 AM,sub temp processing 17-12-21 @tt,TT,0,0,0,0,0,18,0
Sub Template Friday @tt ,Data Mining,Data Mining,2021/12/31 07:00 AM,Sub Template Friday @tt ,TT,0,0,0,0,0,18,0
T1,Data Mining,Data Mining,2022/09/21 10:28 AM,,,0,0,0,0,0,18,0
T11,Data Mining,Data Mining,2023/02/16 12:45 PM,,,0,0,0,0,0,18,0
T12,Data Mining,Data Mining,2023/02/16 12:53 PM,,,0,0,0,0,0,18,0
T45,Data Mining,Data Mining,2023/02/15 06:45 AM,,,0,0,0,0,0,18,0
T46,Data Mining,Data Mining,2023/02/15 06:46 AM,,,0,0,0,0,0,18,0
T461,Data Mining,Data Mining,2023/11/16 10:42 AM,,,0,0,0,0,0,18,0
T461s,Data Mining,Data Mining,2024/08/28 01:13 PM,sd,,0,2,0,0,0,18,0
T46v,Notification,Notification,2024/02/13 04:52 PM,,,0,13,0,0,0,18,0
t50,Data Mining,Data Mining,2023/05/08 06:20 AM,,,0.01,30433,0,0,0,18,0
T51,Data Mining,Data Mining,2023/05/16 04:56 PM,,,0,0,0,0,0,18,0
t56,Archived,Archived,2024/02/16 09:17 AM,,,2.27,113,0,0,0,18,0
Table mapping,Data Mining,Data Mining,2020/12/29 04:33 PM,Table mapping,Poc,0,0,0,0,0,18,0
Temlate ,Deleted,Deleted,2021/05/11 06:21 AM,,,0,0,0,0,0,18,0
Temp,Deleted,Deleted,2021/03/10 04:37 PM,,,0,0,0,0,0,18,0
Temp11,Deleted,Deleted,2021/03/10 05:10 PM,,,0,0,0,0,0,18,0
TempT1,Deleted,Deleted,2021/03/10 06:02 PM,,,0,0,0,0,0,18,0
test,Data Mining,Data Mining,2024/02/19 07:13 AM,,,0,0,0,0,0,18,0
Test,Data Mining,Data Mining,2022/09/23 09:51 AM,,,0,0,0,0,0,18,0
Test,Data Mining,Data Mining,2024/06/17 08:50 AM,,,0,49,0,0,0,18,0
test,Data Mining,Data Mining,2023/09/15 02:40 PM,,,2.43,4,0,0,0,18,0
test,Data Mining,Data Mining,2022/09/16 12:56 PM,,,0,0,0,0,0,18,0
Test,Data Mining,Data Mining,2022/08/04 07:02 AM,test,dfd,0,0,0,0,0,18,0
test,Data Mining,Data Mining,2022/06/27 01:25 PM,,,0,0,0,0,0,18,0
test,Data Mining,Data Mining,2022/08/04 06:54 AM,,,0,0,0,0,0,18,0
Test,Data Mining,Data Mining,2024/01/24 03:33 PM,cv,,0.01,3,0,0,0,18,0
"Test  ! ” # $ % &amp;amp;amp; ’ ( ) * + , - . / : ; &amp;amp;lt; = &amp;amp;gt; ? @ [ \ ] ^ _ ` { | } test",Data Mining,Data Mining,2023/02/16 12:09 PM,test special character 123,,0,0,0,0,0,18,0
Test  # Test $ Test &amp; Test @ Test - Test _ Test,Data Mining,Data Mining,2023/02/16 12:44 PM,Special Character,,0,0,0,0,0,18,0
test  new 123,Data Mining,Data Mining,2022/11/28 08:00 AM,,,0,0,0,0,0,18,0
test 1 2 3,Data Mining,Data Mining,2023/02/20 07:19 AM,df,,0,0,0,0,0,18,0
TEST advance search1,Data Mining,Data Mining,2022/08/10 08:20 AM,,,0,0,0,0,0,18,0
test archievev,Data Mining,Data Mining,2022/06/21 07:45 AM,,,0,0,0,0,0,18,0
test bak file,Data Mining,Data Mining,2023/02/08 11:30 AM,,,0,0,0,0,0,18,0
Test Batch Regression,Data Mining,Data Mining,2022/09/15 12:26 PM,Regression test,Poc,0,0,0,0,0,18,0
test beta @tushar,Data Mining,Data Mining,2021/12/06 01:02 PM,test beta @tushar,TT,0,0,0,0,0,18,0
test clickme,Data Mining,Data Mining,2024/07/10 10:31 AM,TesterClick me,TesterClick me,0,0,0,0,0,18,0
Test close project ,Data Mining,Data Mining,2023/06/12 01:53 PM,,,0,0,0,0,0,18,0
test database,Data Mining,Data Mining,2023/03/31 10:04 AM,,,0.8,54,0,0,0,18,0
test Dont use this 9jy2v,Data Mining,Data Mining,2024/02/20 01:17 PM,Cypress project - this project is used for cypress automation - Dont use this - Dont delete 9jy2v,poc9jy2v,0,0,0,0,0,18,0
Test for SHA,Data Mining,Data Mining,2024/01/17 08:52 PM,,,0.03,168,0,3,3,18,0
test gz (don;t delete) shrutika,Data Mining,Data Mining,2022/04/05 08:01 AM,,,0,0,0,0,0,18,0
Test Highlight Exact Word Only,Data Mining,Data Mining,2022/07/26 05:53 PM,,,0,0,0,0,0,18,0
test index,Data Mining,Data Mining,2022/09/28 07:38 AM,,,0,0,0,0,0,18,0
test index,Data Mining,Data Mining,2022/10/17 11:18 AM,,,0,0,0,0,0,18,0
test index1,Data Mining,Data Mining,2023/09/15 03:12 PM,,,0,0,0,0,0,18,0
test mapping,Archived,Archived,2023/09/09 08:15 AM,,,0,0,0,0,0,18,0
test mdb,Data Mining,Data Mining,2022/05/12 01:23 PM,test mdb,,0,0,0,0,0,18,0
test new proj,Data Mining,Data Mining,2022/11/28 08:02 AM,,,0,0,0,0,0,18,0
Test node js ,Data Mining,Data Mining,2023/06/16 07:00 AM,,,0,201,0,0,0,18,0
test objectId,Data Mining,Data Mining,2022/11/07 03:20 PM,,,0,0,0,0,0,18,0
test pii refactorting (Do Not Delete_Nishan),Data Mining,Data Mining,2021/12/29 05:12 AM,This project is created to test pii refactoring,poc,0,0,0,0,0,18,0
test png nishan,Data Mining,Data Mining,2022/12/07 06:12 AM,,,0,0,0,0,0,18,0
Test proejct can delete,Data Mining,Data Mining,2022/07/08 01:18 PM,test,test,0,0,0,0,0,18,0
Test Project cypress 1,Data Mining,Data Mining,2023/11/21 06:50 AM,Test Project cypress 1 ,poc,0.06,14,0,0,0,18,0
Test Project For Upload,Data Mining,Data Mining,2022/09/01 10:23 AM,,,0,0,0,0,0,18,0
Test Project1,Data Mining,Data Mining,2023/11/22 12:46 PM,Test Project 1,Client1,0,8,0,4,4,18,0
Test s3 uplaod,Data Mining,Data Mining,2022/10/17 06:02 AM,,canwill,0,0,0,0,0,18,0
test s3 upload,Data Mining,Data Mining,2024/06/26 06:25 AM,,,0.02,1192,0,0,0,18,0
Test s3 upload,Data Mining,Data Mining,2022/10/10 12:05 PM,,,0,0,0,0,0,18,0
test search,Data Mining,Data Mining,2022/07/04 08:05 AM,test search,,0,0,0,0,0,18,0
Test Upload,Data Mining,Data Mining,2023/09/26 02:36 PM,,,0,0,0,0,0,18,0
test upload,Deleted,Deleted,2021/03/11 02:19 PM,,,0,0,0,0,0,18,0
test upload issue ,Data Mining,Data Mining,2023/03/29 05:21 AM,,,0.03,225,0,0,0,18,0
Test Upload Krishna,Data Mining,Data Mining,2022/12/06 01:49 PM,Check file upload,poc,0,0,0,0,0,18,0
Test Upload Project,Data Mining,Data Mining,2023/03/07 09:23 PM,,,0.06,1588,956,0,0,18,0
test upload tus,Deleted,Deleted,2021/04/03 05:05 PM,test upload tus,,0,0,0,0,0,18,0
test&#39;s nikhil,Data Mining,Data Mining,2023/02/20 07:17 AM,,,0,0,0,0,0,18,0
test-ds,Archived,Archived,2023/11/03 09:43 AM,,,0,0,0,0,0,18,0
Test1,Deleted,Deleted,2021/03/10 04:40 PM,,,0,0,0,0,0,18,0
test1,Data Mining,Data Mining,2023/04/21 12:35 PM,,,0.01,416,0,1,1,18,0
test1,Data Mining,Data Mining,2024/02/19 07:14 AM,,,0,0,0,0,0,18,0
test1,Data Mining,Data Mining,2023/09/15 02:53 PM,,,2.43,4,0,0,0,18,0
test123,Data Mining,Data Mining,2023/02/14 06:30 AM,,,0,0,0,0,0,18,0
Test123r,Data Mining,Data Mining,2023/05/10 10:11 AM,,,0,0,0,0,0,18,0
test1test1,Data Mining,Data Mining,2022/08/05 11:52 AM,test1,,0,0,0,0,0,18,0
test2,Data Mining,Data Mining,2023/06/01 07:27 PM,,,0,0,0,0,0,18,0
test34,Data Mining,Data Mining,2023/11/20 09:31 AM,,,0,0,0,0,0,18,0
test456,Data Mining,Data Mining,2023/09/15 06:53 AM,,,0,0,0,0,0,18,0
test56,Data Mining,Data Mining,2023/11/16 10:24 AM,,,0,0,0,0,0,18,0
test_case,Data Mining,Data Mining,2023/09/15 02:48 PM,,,0,0,0,0,0,18,0
test_cc_dedupe,Deleted,Deleted,2021/03/31 05:50 AM,,,0,0,0,0,0,18,0
test_list111121,Data Mining,Data Mining,2022/08/10 11:46 AM,,,0,0,0,0,0,18,0
test_list_21,Data Mining,Data Mining,2022/08/10 11:55 AM,test,,0,0,0,0,0,18,0
test_list_31vgvb,Data Mining,Data Mining,2022/08/10 12:11 PM,test list 33,,0,0,0,0,0,18,0
test_lokender_1,Data Mining,Data Mining,2022/09/12 05:49 AM,Test Regression,,0,0,0,0,0,18,0
test_lokendersadfdfsdfsdddfsff,Data Mining,Data Mining,2022/08/19 11:32 AM,test mappingdsdfd,df,0,0,0,0,0,18,0
test_memory DO NOT Delete - DO NOT OPEN,Data Mining,Data Mining,2021/06/25 06:39 AM,DO NOT OPEN,,0,0,0,0,0,18,0
test_search_1,Data Mining,Data Mining,2022/07/06 08:08 AM,test_search_1,,0,0,0,0,0,18,0
testerclickme,Data Mining,Data Mining,2024/07/30 08:16 AM,TesterClick me,TesterClick me,0,0,0,0,0,18,0
TestForRemoveDyanomdb,Data Mining,Data Mining,2022/08/04 06:05 AM,test,,0,0,0,0,0,18,0
TestingPurpose,Data Mining,Data Mining,2023/02/15 06:15 AM,tes,ew,0,0,0,0,0,18,0
TestMatches,Data Mining,Data Mining,2022/10/31 12:33 PM,est,tes,0,0,0,0,0,18,0
testnewCase,Data Mining,Data Mining,2023/07/12 05:27 AM,,,0,201,0,0,0,18,0
testNikhilEdited,Data Mining,Data Mining,2023/01/30 01:29 PM,This is edited proj !^&*(),test,0,0,0,0,0,18,0
TestProject1234,Data Mining,Data Mining,2024/01/10 12:54 PM,TestProject,poc,0,0,0,0,0,18,0
thread batching (dont delete),Data Mining,Data Mining,2021/09/20 03:46 PM,thread batching (dont delete),poc,0,0,0,0,0,18,0
ThreadId,Data Mining,Data Mining,2024/07/24 10:04 AM,,,0,9,0,0,0,18,0
Tiff sample files,Data Mining,Data Mining,2022/10/17 08:45 AM,Tiff sample files,poc,0,0,0,0,0,18,0
Tiff viewer check,Data Mining,Data Mining,2022/12/06 08:45 AM,,,0,0,0,0,0,18,0
timeout,Data Mining,Data Mining,2023/04/06 08:11 AM,,,8.02,137,0,0,0,18,0
timing2,Data Mining,Data Mining,2023/06/05 10:11 AM,"timing2
",,0.31,185,0,0,0,18,0
timing3,Data Mining,Data Mining,2023/06/06 06:16 AM,timing3,,0.1,83,0,0,0,18,0
timing4,Data Mining,Data Mining,2023/06/06 08:05 AM,timing4,,0.1,65,0,0,0,18,0
timing_1,Data Mining,Data Mining,2023/06/01 12:56 PM,timing_1,,0.1,61,0,0,0,18,0
transperfect 8,Deleted,Deleted,2021/05/10 07:53 AM,transperfect 8,,0,0,0,0,0,18,0
Truthdata Project Check Cypress - Dont use this rgblo,Data Mining,Data Mining,2024/06/05 08:55 AM,Cypress project - this project is used for cypress automation - Dont use this - Dont delete rgblo,pocrgblo,0,0,0,0,0,18,0
updated Cypress(Dont use this),Data Mining,Data Mining,2021/09/06 09:21 AM,updated Cypress project,updated poc,0,0,0,0,0,18,0
upload sharefile ,Data Mining,Data Mining,2023/08/20 09:50 PM,,,0.04,20332,0,2,2,18,0
Upload Test,Data Mining,Data Mining,2023/01/11 11:47 PM,,,0,0,0,0,0,18,0
upload test issue,Data Mining,Data Mining,2024/03/14 06:53 AM,,,0.08,394,0,0,0,18,0
upload testing @ishwari,Data Mining,Data Mining,2022/06/28 07:06 AM,,,0,0,0,0,0,18,0
upload_test,Data Mining,Data Mining,2023/11/29 06:13 AM,,,0,10145,0,0,0,18,0
upload_test 7,Data Mining,Data Mining,2023/12/12 12:14 PM,,,0,0,0,0,0,18,0
upload_test1,Data Mining,Data Mining,2023/11/29 06:17 AM,,,0,10145,0,10,10,18,0
uploadLoad,Deleted,Deleted,2021/05/10 07:11 AM,,,0,0,0,0,0,18,0
UploadTest,Deleted,Deleted,2021/05/14 07:31 AM,,,0,0,0,0,0,18,0
UploadTest,Deleted,Deleted,2021/04/27 12:58 PM,,,0,0,0,0,0,18,0
uploadtest 3,Data Mining,Data Mining,2022/08/30 08:20 AM,uploadtest 3,,0,0,0,0,0,18,0
Uploadtest-50gb,Data Mining,Data Mining,2022/08/26 05:53 AM,,,0,0,0,0,0,18,0
uploadtest2,Data Mining,Data Mining,2022/08/26 09:30 AM,,,0,0,0,0,0,18,0
user last access test11vvgh,Data Mining,Data Mining,2022/08/12 06:19 AM,,,0,0,0,0,0,18,0
vb,Data Mining,Data Mining,2023/11/20 10:20 AM,,,0,0,0,0,0,18,0
Vhd Vmdk Vdi files project168i1,Data Mining,Data Mining,2023/01/19 01:06 PM,Cypress project,poc,0,0,0,0,0,18,0
Vhd Vmdk Vdi files projectcxbrz,Data Mining,Data Mining,2023/01/20 08:12 AM,Cypress project,poc,0,0,0,0,0,18,0
Vhd Vmdk Vdi files projectdortig,Data Mining,Data Mining,2023/01/23 12:06 PM,Cypress project,poc,0,0,0,0,0,18,0
Vhd Vmdk Vdi files projectsuis1,Data Mining,Data Mining,2023/01/23 12:18 PM,Cypress project,poc,0,0,0,0,0,18,0
view docs functionality (Don't Delete),Data Mining,Data Mining,2022/10/18 06:02 AM,Associated Entity functionalities,poc,0.02,75,0,0,0,18,0
vinod.kapade+pc@canwilltech.com,Data Mining,Data Mining,2022/09/21 07:09 AM,vinod.kapade+pc@canwilltech.com,,0,0,0,0,0,18,0
waruwrkyjer4w6j45jh3h,Data Mining,Data Mining,2023/01/06 03:23 PM,4w5j4jh45j,,0,0,0,0,0,18,0
wegwe,Deleted,Deleted,2021/02/18 10:33 AM,gweg,,0,0,0,0,0,18,0
wevew,Deleted,Deleted,2021/05/24 12:19 PM,vewve,,0,0,0,0,0,18,0
withbody_check,Data Mining,Data Mining,2022/12/30 08:05 AM,,,0,2,0,0,0,18,0
WithBodyCheck,Data Mining,Data Mining,2022/12/30 08:13 AM,,,0,6,0,0,0,18,0
WithEmailBody,Data Mining,Data Mining,2024/01/23 08:20 AM,,,0,3,0,0,0,18,0
WithOutEmailBody,Data Mining,Data Mining,2024/01/23 08:15 AM,,,0,2,0,0,0,18,0
wvbwb,Data Mining,Data Mining,2023/12/11 10:35 AM,wvbwb,,0,5,0,0,0,18,0
www,Data Mining,Data Mining,2023/01/12 10:36 AM,ww,,0,0,0,0,0,18,0
xdcx,Data Mining,Data Mining,2023/08/29 12:22 PM,,,0,0,0,0,0,18,0
ziptest,Data Mining,Data Mining,2023/05/10 06:40 AM,ziptest,,0,2,0,0,0,18,0
zkrish,Deleted,Deleted,2019/07/11 10:02 AM,zkrish,,0,0,0,0,0,18,0
